pathway	pval	padj	log2err	ES	NES	size	leadingEdge	tissue
HALLMARK_ALLOGRAFT_REJECTION	0.001564227709855599	0.028938212632328583	0.45505986738722953	-0.6237725561434994	-2.2271983510719355	11		blood
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.3533612376470808e-5	5.007436579294199e-4	0.5933254763964051	-0.8913043478260869	-2.3949080399707543	6		blood
HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.129186386918541e-4	0.02154258282505787	0.47727081536286214	0.6994540592583569	2.317060280813519	10		immune system
HALLMARK_APOPTOSIS	0.0032068318795750723	0.02757875416434562	0.4317076958033464	0.7377744957750915	1.816840301116908	10		kidney
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0010178345515419313	0.014588961905434348	0.45505986738722953	0.9362416107382551	1.6414692902791366	3		kidney
HALLMARK_MYC_TARGETS_V2	0.0020760279604522575	0.022317300574861768	0.4317076958033464	0.9161073825503355	1.6061688754344239	3		kidney
HALLMARK_TNFA_SIGNALING_VIA_NFKB	9.88335401275122e-8	4.2498422254830245e-6	0.7049757151672383	0.7988350827885841	2.285767511310354	20		kidney
HALLMARK_UV_RESPONSE_UP	1.3974423733843536e-4	0.00300450110277636	0.5188480777437918	0.7678842780838536	1.975886850524354	12		kidney
HALLMARK_HYPOXIA	6.232213827902433e-4	0.012776038347199987	0.47727081536286214	-0.6811771034461079	-2.088146167765063	11		spleen
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.5826523811964354e-7	1.0588874762905386e-5	0.674962860011025	-0.8310385858896074	-2.547546048760539	11		spleen
HALLMARK_INFLAMMATORY_RESPONSE	0.0022536922079425597	0.048454382470765035	0.4317076958033464	0.6884480529136572	1.7671549168689364	11		thymus
HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.678769481608715e-7	2.4418708770917475e-5	0.6594443980379349	0.6778073012171818	2.221770272676135	31		thymus
